region,polarity,Q2_GeV2,xB,minus_t_GeV2,A_sin_phi,A_sin_phi_stat
0,out,2.515,0.289,0.484,0.064,0.020
0,out,2.515,0.291,0.832,0.044,0.020
0,out,2.548,0.280,1.472,0.033,0.019
0,in,2.549,0.295,0.325,0.069,0.024
0,in,2.553,0.296,0.626,0.069,0.023
0,in,2.620,0.284,1.335,0.022,0.025
1,out,2.822,0.394,0.473,0.025,0.014
1,in,2.867,0.391,0.336,0.020,0.015
1,out,2.901,0.393,0.756,0.043,0.014
1,in,2.966,0.395,0.619,0.053,0.013
1,out,3.072,0.393,1.320,0.050,0.014
1,in,3.202,0.395,1.271,0.039,0.018
3,out,3.679,0.490,0.561,0.039,0.020
3,in,3.689,0.483,0.509,0.020,0.020
3,out,4.049,0.516,0.878,0.044,0.016
3,in,4.064,0.512,0.786,0.041,0.016
3,out,4.265,0.524,1.447,0.029,0.015
3,in,4.374,0.528,1.361,0.070,0.016
2,out,4.507,0.361,0.488,0.091,0.038
2,out,4.573,0.363,1.448,0.091,0.030
2,in,4.583,0.368,0.358,0.120,0.037
2,out,4.630,0.372,0.806,0.058,0.035
2,in,4.660,0.369,1.360,0.063,0.032
2,in,4.723,0.380,0.654,0.020,0.032
4,out,5.985,0.513,0.734,0.069,0.036
4,in,6.005,0.505,0.640,0.053,0.032
4,out,6.336,0.554,1.146,0.104,0.032
4,in,6.455,0.552,1.038,0.078,0.029
4,out,6.585,0.578,1.651,0.012,0.029
4,in,6.776,0.584,1.601,0.064,0.026
