Q2,xB,minus_t,sigma_U,sigma_U_stat,sigma_U_sys,sigma_LT,sigma_LT_stat,sigma_LT_sys,sigma_TT,sigma_TT_stat,sigma_TT_sys
1.14,0.131,0.12,341.0,40.0,59.0,-30.0,68.0,114.0,-240.0,111.0,156.0
1.15,0.132,0.17,314.0,40.0,75.0,-76.0,69.0,126.0,-292.0,108.0,215.0
1.15,0.132,0.25,267.0,19.0,15.0,-42.0,32.0,37.0,-233.0,55.0,21.0
1.15,0.132,0.35,188.0,13.0,33.0,-50.0,23.0,43.0,-179.0,43.0,66.0
1.15,0.132,0.49,126.3,4.7,10.0,-15.0,8.0,5.5,-78.0,19.0,8.1
1.15,0.132,0.77,66.0,2.0,7.9,3.8,3.1,6.4,-39.8,7.8,16.0
1.16,0.133,1.71,17.8,2.0,1.6,4.3,1.2,2.0,-21.2,6.6,7.7
1.38,0.169,0.12,357.0,13.0,35.0,19.0,19.0,30.0,-191.0,42.0,47.0
1.38,0.169,0.17,366.0,15.0,24.0,2.0,22.0,21.0,-247.0,46.0,53.0
1.38,0.169,0.25,331.0,12.0,16.0,19.0,18.0,17.0,-202.0,36.0,49.0
1.38,0.169,0.35,254.0,10.0,13.0,17.0,15.0,24.0,-153.0,32.0,25.0
1.38,0.169,0.49,166.2,5.1,12.0,-15.4,7.1,12.0,-109.0,18.0,18.0
1.38,0.169,0.77,83.4,3.3,4.1,9.7,4.4,10.0,-48.5,9.6,5.4
1.38,0.169,1.21,39.6,1.7,3.8,4.0,1.7,1.9,-40.8,4.5,3.0
1.38,0.17,1.71,15.3,1.4,1.5,0.81,0.8,1.6,-13.6,4.0,5.1
1.61,0.186,0.12,276.0,17.0,46.0,17.0,29.0,58.0,-180.0,64.0,71.0
1.61,0.186,0.18,345.0,25.0,57.0,36.0,42.0,102.0,-103.0,82.0,87.0
1.61,0.187,0.25,276.0,15.0,7.0,0.0,26.0,21.0,-171.0,52.0,41.0
1.61,0.187,0.35,223.0,12.0,11.0,-14.0,20.0,11.0,-143.0,46.0,46.0
1.61,0.187,0.49,159.8,6.3,11.0,20.0,10.0,11.0,-58.0,25.0,19.0
1.61,0.187,0.78,82.4,3.2,7.1,5.6,4.8,19.0,-30.0,12.0,27.0
1.61,0.187,1.21,34.5,2.3,3.0,0.1,3.3,1.7,-24.9,6.4,6.6
1.61,0.187,1.71,16.0,1.9,1.6,2.3,1.8,2.2,-12.2,6.2,4.6
1.74,0.223,0.25,316.7,6.7,9.2,14.9,8.5,19.0,-232.0,20.0,44.0
1.75,0.223,0.12,293.3,7.8,24.0,16.2,9.8,12.0,-72.0,23.0,13.0
1.75,0.223,0.17,339.3,8.9,26.0,35.0,11.0,8.3,-243.0,28.0,26.0
1.75,0.224,0.35,260.5,7.0,13.0,32.1,9.2,5.0,-183.0,22.0,20.0
1.75,0.224,0.49,184.4,5.0,8.6,3.6,6.3,3.7,-116.0,15.0,20.0
1.75,0.224,0.78,102.2,2.4,5.4,9.2,3.1,5.0,-61.0,7.3,12.0
1.75,0.224,1.22,44.5,1.4,3.0,6.3,1.3,2.2,-21.2,4.1,6.0
1.75,0.224,1.72,19.0,1.0,4.4,2.24,0.85,3.2,-12.3,3.0,5.4
1.87,0.27,0.12,342.0,74.0,108.0,1.0,86.0,72.0,-150.0,103.0,101.0
1.87,0.271,0.18,437.0,54.0,90.0,7.0,64.0,74.0,16.0,91.0,167.0
1.87,0.271,0.25,412.0,19.0,32.0,20.0,21.0,20.0,-233.0,34.0,39.0
1.87,0.271,0.35,374.0,14.0,26.0,27.0,13.0,20.0,-293.0,28.0,41.0
1.87,0.271,0.49,259.5,7.3,13.0,25.1,7.2,6.1,-167.0,19.0,14.0
1.87,0.271,0.78,151.8,4.1,7.8,6.4,4.2,5.7,-59.0,12.0,4.6
1.87,0.271,1.22,77.7,3.0,5.5,-5.7,2.3,2.8,-36.4,7.4,5.6
1.87,0.272,1.72,39.2,2.1,3.5,-7.0,1.9,1.9,-22.9,4.6,3.8
1.95,0.313,0.35,470.0,44.0,82.0,-13.0,34.0,18.0,-183.0,77.0,58.0
1.95,0.313,0.49,339.0,23.0,21.0,21.0,15.0,34.0,-140.0,50.0,43.0
