row,Q2,xB,minus_t,sigma_U,sigma_U_stat,sigma_U_sys,sigma_LT,sigma_LT_stat,sigma_LT_sys,sigma_TT,sigma_TT_stat,sigma_TT_sys,reported_global_scale
1,1.18,0.126,0.129,166.0,7.56,0,11.3,1.92,0,-136.0,11.0,0,1.3
2,1.18,0.175,0.132,255.0,16.8,0,25.6,8.19,0,-196.0,25.3,0,1.3
3,1.19,0.224,0.134,-122.0,98.1,0,220.0,43.5,0,-478.0,76.4,0,1.3
4,1.7,0.125,0.13,75.2,52.0,0,-15.5,47.2,0,10.0,61.3,0,1.3
5,1.72,0.177,0.134,123.0,23.8,0,2.07,14.1,0,-51.7,34.7,0,1.3
6,1.7,0.224,0.136,377.0,257.0,0,-83.4,116.0,0,22.3,164.0,0,1.3
7,1.19,0.127,0.176,127.0,5.44,0,2.45,1.46,0,-88.4,8.02,0,1.3
8,1.19,0.176,0.175,299.0,8.52,0,6.92,2.1,0,-256.0,11.0,0,1.3
9,1.2,0.225,0.176,421.0,51.7,0,27.1,24.2,0,-344.0,46.8,0,1.3
10,1.3,0.269,0.176,-502.0,179.0,0,395.0,76.2,0,-890.0,128.0,0,1.3
11,1.69,0.128,0.175,64.9,6.3,0,1.47,3.55,0,-33.2,15.8,0,1.3
12,1.72,0.176,0.176,109.0,7.24,0,4.5,3.38,0,-70.2,12.7,0,1.3
13,1.71,0.225,0.176,240.0,42.6,0,-11.8,21.7,0,-119.0,43.2,0,1.3
14,1.73,0.275,0.177,779.0,246.0,0,-194.0,103.0,0,172.0,142.0,0,1.3
15,2.19,0.225,0.177,162.0,51.6,0,-28.6,30.3,0,-7.79,57.7,0,1.3
16,2.21,0.274,0.178,463.0,332.0,0,-125.0,150.0,0,56.8,189.0,0,1.3
17,1.19,0.128,0.25,138.0,3.95,0,1.88,0.975,0,-97.9,6.03,0,1.3
18,1.19,0.175,0.249,305.0,6.24,0,4.35,1.67,0,-260.0,8.55,0,1.3
19,1.2,0.225,0.248,542.0,27.3,0,-43.1,13.0,0,-207.0,29.8,0,1.3
20,1.3,0.27,0.248,434.0,80.6,0,15.7,35.2,0,-231.0,61.2,0,1.3
21,1.69,0.13,0.247,61.8,3.85,0,5.53,1.7,0,-38.8,9.23,0,1.3
22,1.73,0.177,0.249,124.0,4.83,0,0.113,1.67,0,-93.2,7.48,0,1.3
23,1.72,0.227,0.248,215.0,7.28,0,3.93,2.67,0,-171.0,10.7,0,1.3
24,1.73,0.275,0.251,302.0,10.5,0,12.6,3.14,0,-210.0,14.3,0,1.3
25,1.77,0.33,0.254,304.0,23.6,0,14.7,10.1,0,-153.0,25.4,0,1.3
26,2.22,0.177,0.248,56.2,3.83,0,1.68,1.87,0,-19.8,8.95,0,1.3
27,2.22,0.227,0.251,115.0,6.15,0,-1.55,3.02,0,-71.0,10.8,0,1.3
28,2.22,0.276,0.253,150.0,6.72,0,7.06,2.06,0,-99.4,10.3,0,1.3
